Descricao,Tamanho,Comprimento LCS,Tempo DP (s),Razao Tempo DP,Mem DP (MB),Razao Mem DP,Tempo Rec (s),Mem Rec Estimada (MB),Chamadas Rec,Razao Crescimento Rec
Tamanho 47,47,12,0.004295999999158084,1.753397798813933,0.02346515655517578,1.0194737932463227,N/A,N/A,N/A,N/A
Tamanho 48,48,11,0.003484399989247322,0.8110800721438973,0.023914337158203125,1.0191424507213982,N/A,N/A,N/A,N/A
Tamanho 49,49,14,0.0029244000324979424,0.839283676249136,0.024367332458496094,1.018942415058223,N/A,N/A,N/A,N/A
Tamanho 50,50,15,0.005251099995803088,1.7956161733857396,0.02481842041015625,1.01851199561661,N/A,N/A,N/A,N/A
Tamanho 51,51,13,0.0030765000265091658,0.5858772502843292,0.025266647338867188,1.0180602520750077,N/A,N/A,N/A,N/A
Tamanho 52,52,13,0.0029835999594070017,0.9698033264093368,0.030660629272460938,1.213482297878765,N/A,N/A,N/A,N/A
Tamanho 53,53,15,0.0036329999566078186,1.217656524345136,0.0312042236328125,1.0177293934681182,N/A,N/A,N/A,N/A
Tamanho 54,54,15,0.0034185000113211572,0.9409579003994971,0.03174591064453125,1.017359413202934,N/A,N/A,N/A,N/A
Tamanho 55,55,18,0.003284199978224933,0.9607137537950977,0.03229045867919922,1.0171533285267964,N/A,N/A,N/A,N/A
Tamanho 56,56,17,0.004112700000405312,1.2522684451840755,0.03283119201660156,1.0167459168906348,N/A,N/A,N/A,N/A
Tamanho 57,57,18,0.004503100004512817,1.0949254757383302,0.03337383270263672,1.0165282054261313,N/A,N/A,N/A,N/A
Tamanho 58,58,12,0.003601200005505234,0.7997157517923793,0.03390979766845703,1.0160594370624374,N/A,N/A,N/A,N/A
Tamanho 59,59,17,0.004928699985612184,1.3686271182043683,0.03445625305175781,1.0161149703293304,N/A,N/A,N/A,N/A
Tamanho 60,60,14,0.004179899988230318,0.8480735286043467,0.034995079040527344,1.0156379739828398,N/A,N/A,N/A,N/A
Tamanho 61,61,17,0.00403740000911057,0.9659082802169916,0.03553962707519531,1.0155607030930645,N/A,N/A,N/A,N/A
Tamanho 62,62,15,0.005518699996173382,1.366894532055331,0.03607940673828125,1.0151881071217732,N/A,N/A,N/A,N/A
Tamanho 63,63,19,0.004311600001528859,0.7812709523109581,0.036624908447265625,1.0151194755762318,N/A,N/A,N/A,N/A
Tamanho 64,64,19,0.0056016999878920615,1.2992160650120008,0.043209075927734375,1.1797729403187167,N/A,N/A,N/A,N/A
Tamanho 65,65,20,0.004981700039934367,0.8893193228309604,0.04384326934814453,1.014677319678644,N/A,N/A,N/A,N/A
Tamanho 66,66,19,0.004632700001820922,0.9299435864632983,0.044475555419921875,1.014421508276597,N/A,N/A,N/A,N/A
Tamanho 67,67,20,0.005554800038225949,1.1990416033938283,0.04510974884033203,1.0142593704434342,N/A,N/A,N/A,N/A
Tamanho 68,68,18,0.005424900038633496,0.9766148198497637,0.04574108123779297,1.013995475782753,N/A,N/A,N/A,N/A
Tamanho 69,69,17,0.005516000033821911,1.0167929352687874,0.04637336730957031,1.0138231553489148,N/A,N/A,N/A,N/A
Tamanho 70,70,20,0.005433000042103231,0.9849528659880789,0.04700946807861328,1.0137169415539011,N/A,N/A,N/A,N/A
Tamanho 71,71,21,0.006493400025647134,1.1951776137173376,0.04764366149902344,1.0134907593370255,N/A,N/A,N/A,N/A
Tamanho 72,72,21,0.005709599994588643,0.8792928160959287,0.04827690124511719,1.0132911645782456,N/A,N/A,N/A,N/A
Tamanho 73,73,20,0.007885400031227618,1.3810774903147542,0.04890918731689453,1.0130970724191064,N/A,N/A,N/A,N/A
Tamanho 74,74,20,0.005825200001709163,0.7387323380729337,0.04954242706298828,1.012947255532807,N/A,N/A,N/A,N/A
Tamanho 75,75,24,0.007257899967953563,1.2459486310897536,0.050179481506347656,1.0128587653275327,N/A,N/A,N/A,N/A
Tamanho 76,76,27,0.006578100030310452,0.9063365518063502,0.060337066650390625,1.2024250717448732,N/A,N/A,N/A,N/A
